,Location,Points,Gold,Preferred Cheese, Group,Sub  Group
Fuel ,Gnawnian Express Station,"5,000","4,000",,Train Robbers,Fueler
Fungal Frog ,Whisker Woods Rift,"32,250","3,500","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Fungal Spore ,Twisted Garden,"15,250","2,650","Duskshade Camembert
Lunaria Camembert",Living Garden Mice,
Fungal Technomorph ,"Labyrinth
Zokor","80,800","12,750",,Citizens of Zokor,Tech Engineers
Funglore ,Fungal Cavern,"40,000","2,400",,Fungal Fiends,Fungal Fodder
Gargantua,Fiery Warpath (Waves 1-3),"25,000","4,000",,The Marching Flame,Misc
Gargoyle ,Forbidden Grove,"5,600","2,800",Ancient Cheese,The Forgotten Mice,
Gate Guardian ,"Acolyte Realm
Forbidden Grove","2,800","1,400","Ancient Cheese
Radioactive Blue
Runic",The Forgotten Mice,
Gelatinous Octahedron ,Toxic Spill,"21,000","2,000",Rancid Radioactive Blue,The Polluted,
Gemorpher ,Fungal Cavern,"50,000","3,000",Mineral Cheese,Fungal Fiends,Mineral Munchers
Gemstone Worshipper ,Fungal Cavern,"68,000","10,000",Glowing Gruyere Cheese,Fungal Fiends,Gruyere Grazers
General Drheller,Iceberg,"36,545","7,595",,Icewing's Invasion,Icewing's Generals
Gentleman Caller ,"Valentine's Day
Lunar New Year",850,"1,000",See current Valentine's Day or Lunar New Year location,Event Mice,Valentine's Day
Ghost ,"Catacombs
Forbidden Grove
Mousoleum","3,590","3,590","Ancient Cheese
Radioactive Blue",The Shadow Clan,
Giant Snail ,"Catacombs
Mousoleum","5,750",550,Radioactive Blue,The Shadow Clan,
Gilded Leaf ,Whisker Woods Rift,"48,750","9,000",Magical String,Rift Walkers,Whisker Woods Rift
Gingerbread ,Great Winter Hunt,"1,250",750,See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Glacia Ice Fist,Great Winter Hunt,"9,900","2,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Gladiator ,Derr Dunes,"8,365","8,250",Crunchy,The Derr Tribe,
Glass Blower ,Muridae Market,"18,000","6,000",,Muridae Market Mice,
Glitchpaw ,Many locations. See Glitchpaw  page for details.,"1,200","1,200",,Event Mice,Misc
Gluttonous Zombie ,"Catacombs
Mousoleum","1,750","3,000",,The Shadow Clan,
Goblin ,Lagoon,"3,500","3,500","Gnarled
Wicked Gnarly",Forest Guild,
Gold ,"Dojo
Harbour
King's Arms
Meadow
Mountain
Tournament Hall
Town of Digby
Town of Gnawnia
Training Grounds
Windmill",600,"1,200",,Indigenous Mice,
Goldleaf ,Great Gnarled Tree,"5,500","2,450",,Forest Guild,
Golem ,"Acolyte Realm
Catacombs
Forbidden Grove","7,920","4,500","Ancient Cheese
Radioactive Blue
Runic",The Forgotten Mice,
Goliath Field ,Gnawnia Rift,"119,000","15,000",Resonator,Rift Walkers,Gnawnia Rift
Gorgon ,"Acolyte Realm
Forbidden Grove","1,400","2,800","Ancient Cheese
Runic",The Forgotten Mice,
Gourd Ghoul ,Halloween,"20,000","5,000",See current Halloween location,Event Mice,Halloween
Gourdborg,Halloween,"25,200","9,000",See current Halloween location,Event Mice,Halloween
Grand Master of the Dojo,Furoma Rift (Inside Only),"210,000","92,000",Rift Rumble,Rift Stalkers,Furoma Rift
Grandfather ,Cape Clawed,"8,640",720,Gumbo,The Nerg Tribe,
Granite ,"Bazaar
Harbour
Laboratory
Meadow
Mountain
Town of Digby
Town of Gnawnia",285,525,,Indigenous Mice,
Grave Robber ,"Catacombs
Mousoleum","2,000","1,200",Undead Emmental,Event Mice,Halloween
Great Winter Hunt Impostor,Great Winter Hunt,"50,000","10,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Greedy Al,Great Winter Hunt,"2,500",750,See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Grey ,"Harbour
King's Arms
Meadow
Mountain
Town of Gnawnia
Windmill",90,125,,Indigenous Mice,
Grey Recluse ,Halloween,"1,100",550,See current Halloween location,Event Mice,Halloween
Greyrun ,Gnawnia Rift,"19,900","2,050","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Gnawnia Rift
Grizzled Silth ,Whisker Woods Rift,"86,250","20,250","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Grubling ,Sand Dunes,"14,500","2,400",Dewthief Camembert,Sand Dunes Mice,
Grubling Herder ,Sand Dunes,"15,675",825,Dewthief Camembert,Sand Dunes Mice,
Grunt ,Derr Dunes,910,"3,075",,The Derr Tribe,
Guardian ,Derr Dunes,"7,600","7,500",Crunchy,The Derr Tribe,
Guppy ,Sunken City,"24,300","2,250",,Deep Sea Dwellers,Scale Society
Guqin Player ,King's Gauntlet,"5,000",800,Gauntlet Cheese Tier 4,Gauntlet Gladiators,Tier 4: Bard Mice
Hapless ,"Dojo
Meditation Room
Pinnacle Chamber",50,70,,Followers of Furoma,
Hapless Marionette,King's Gauntlet,90,100,,Gauntlet Gladiators,Tier 1: Puppet Mice
Hardboiled ,Spring Egg Hunt,"3,200",125,See current Spring Egg Hunt location,Event Mice,Spring Egg Hunt
Hare Razer ,Spring Egg Hunt,"7,000","3,200",See current Spring Egg Hunt location,Event Mice,Spring Egg Hunt
Harpy ,Lagoon,"11,100","3,100",Gnarled,Forest Guild,
,,,,Wicked Gnarly,,
Harvest Harrier ,Seasonal Garden,"11,477","3,680",,Seasonal Soldiers,Fall
Harvester ,Seasonal Garden,"17,425","8,460",,Seasonal Soldiers,Fall
Hazmat ,Toxic Spill,"25,000","5,000",Rancid Radioactive Blue,The Polluted,
Healer ,Cape Clawed,855,975,,The Derr Tribe,
,Derr Dunes,,,,,
Heavy Blaster ,Iceberg,"7,200","1,150",,Icewing's Invasion,Bomb Squad
High Roller ,All locations except: Meadow,10,10,,Event Mice,Prize
Hired Eidolon ,"Labyrinth
Zokor","44,220","10,000",,Citizens of Zokor,Treasure Misers
Hoarder ,Great Winter Hunt,"2,500","3,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Hollowed ,Halloween,"41,250","3,500",See current Halloween location,Event Mice,Halloween
Hollowed Minion ,Halloween,"100,000","30,000",See current Halloween location,Event Mice,Halloween
Hollowhead ,Halloween,875,900,See current Halloween location,Event Mice,Halloween
Hookshot ,Gnawnian Express Station,"8,000","9,000",,Train Robbers,Automice
Hope ,Training Grounds,"1,000","1,000",,Event Mice,Misc
Hot Head ,Seasonal Garden,"2,250",550,,Seasonal Soldiers,Summer
Huntereater ,Fungal Cavern,"190,000","40,000","Gemstone Cheese
Diamond Cheese",Fungal Fiends,Diamond Devourers
Hurdle ,Great Gnawnian Games,"4,000","4,000",See current Great Gnawnian Games location,Event Mice,Great Gnawnian Games
Hydra ,"Lagoon
S.S. Huntington III","9,640","5,760","Gnarled
SUPER|brie+
Wicked Gnarly",Aquatic Order,
Hydrologist ,Sunken City,"25,000","3,500",Fishy Fromage,Deep Sea Dwellers,Sunken City Citizens
,,,,SUPER|brie+,,
Hydrophobe ,Seasonal Garden,"2,000",500,,Seasonal Soldiers,Spring
Iceblade ,Iceberg,"14,560","3,850",,Icewing's Invasion,Zealot
Iceblock ,Iceberg,"7,425","1,265",,Icewing's Invasion,Bergling
Icebreaker ,Iceberg,"5,850","1,320",,Icewing's Invasion,Tunnel Rat
,Slushy Shoreline,,,,,
Icewing,Iceberg,"51,250","11,295",,Icewing's Invasion,Misc
Icicle ,Seasonal Garden,"11,980","3,840",,Seasonal Soldiers,Winter
Ignis ,King's Gauntlet,"4,490","1,000",Gauntlet Cheese Tier 5,Gauntlet Gladiators,Tier 5: Magic Mice
Impersonator ,King's Gauntlet,120,180,Gauntlet Cheese Tier 2,Gauntlet Gladiators,Tier 2: Thief Mice
Incompetent Ice Climber ,"Iceberg
Slushy Shoreline","5,230",750,,Icewing's Invasion,Bergling
Industrious Digger ,Town of Digby,"3,510",890,Limelight,Digby Dirt Dwellers,
Inferno Mage ,Fiery Warpath (Wave 2),"26,500","1,000",,The Marching Flame,Mage
Infiltrator ,Crystal Library,"15,800","1,900",,Zurreal's Breed,
Itty-Bitty Burroughs ,Town of Digby,"10,000","4,000",Limelight,Digby Dirt Dwellers,
Itty Bitty Rifty Burroughs ,Burroughs Rift,"36,000","4,600",Terre Ricotta,Rift Walkers,Burroughs Rift
Jellyfish ,Sunken City,"31,700","8,090",,Deep Sea Dwellers,Finned Friends
Joy ,Great Winter Hunt,"9,920","3,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Juliyes ,"Valentine's Day
Lunar New Year",999,999,See current Valentine's Day or Lunar New Year location,Event Mice,Valentine's Day
Jurassic ,Jungle of Dread,"39,470","6,490",Creamy Havarti,The Dreaded Horde,
Karmachameleon ,Whisker Woods Rift,"42,500","4,350","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Keeper ,Catacombs,"3,950","3,900","Ancient Cheese
Radioactive Blue",The Forgotten Mice,
Keeper's Assistant ,Catacombs,"3,170","1,920","Ancient Cheese
Radioactive Blue",The Forgotten Mice,
King Grub ,Sand Crypts,"35,000","8,500",Graveblossom Camembert,Sand Dunes Mice,
King Scarab ,Sand Crypts,"175,000","22,500",Graveblossom Camembert,Sand Dunes Mice,
Knight ,King's Gauntlet,900,700,Gauntlet Cheese Tier 3,Gauntlet Gladiators,Tier 3: Melee Mice
Koimaid ,Sunken City,"31,700","1,990",,Deep Sea Dwellers,Finned Friends
Kung Fu ,"Dojo
Training Grounds","4,750",800,,Followers of Furoma,
Lab Technician ,Toxic Spill,"10,500","3,000",Rancid Radioactive Blue,The Polluted,
Lady Coldsnap,Iceberg,"27,580","3,745",,Icewing's Invasion,Icewing's Generals
Lambent ,Burroughs Rift,"60,000","10,000",Terre Ricotta,Rift Walkers,Burroughs Rift
Lambent Crystal ,Town of Digby,"9,000","3,000",Limelight,Digby Dirt Dwellers,
Lasso Cowgirl ,Claw Shot City,"5,500","2,000",,Wild Bunch,Misc
Leprechaun ,All locations except: Meadow,10,10,,Event Mice,Prize
Leviathan ,S.S. Huntington III,"6,910","2,880",,Aquatic Order,
Lich ,Acolyte Realm,"12,200","8,700",Runic,The Forgotten Mice,
Lightning Rod ,"Meadow
Tournament Hall",175,100,,Indigenous Mice,
Limestone Miner ,Muridae Market,"14,000","5,200",,Muridae Market Mice,
Living Ice ,Slushy Shoreline,"1,850","3,250",SUPER|brie+,Icewing's Invasion,Bergling
Living Salt ,Iceberg,"1,525",550,,Icewing's Invasion,Misc
Lockpick ,King's Gauntlet,150,180,Gauntlet Cheese Tier 2,Gauntlet Gladiators,Tier 2: Thief Mice
Longtail ,"King's Arms
Town of Gnawnia
Windmill","1,000",900,,Indigenous Mice,
Lord Splodington,Iceberg,"21,450","3,295",,Icewing's Invasion,Icewing's Generals
Lost ,Labyrinth,"30,000",995,,Citizens of Zokor,Hallway Wanderers
Lost Legionnaire ,Labyrinth,"25,500","2,000",,Citizens of Zokor,Hallway Wanderers
Lovely Sports ,"Valentine's Day
Lunar New Year","1,850",450,See current Valentine's Day or Lunar New Year location,Event Mice,Valentine's Day
Lucky ,Many locations.,777,777,,Event Mice,Misc
Lumahead ,Fungal Cavern,"32,000","1,200",,Fungal Fiends,Fungal Fodder
Lumberjack ,Muridae Market,"15,500","3,000",,Muridae Market Mice,
Lycan ,"Catacombs
Forbidden Grove
Mousoleumm","9,250","5,500","Moon
Radioactive Blue",The Shadow Clan,
Lycanoid,Burroughs Rift,"50,000","6,500","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Burroughs Rift
M400,"All except:
Rift Plane region
Sunken City
Toxic Spill","600,000","24,400",Fusion Fondue,Zurreal's Breed,
Mad Elf ,Great Winter Hunt,"19,000","3,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Mage Weaver ,Muridae Market,"29,000",900,,Muridae Market Mice,
Magic ,"Harbour
King's Arms
Town of Gnawnia","2,000","1,250",SUPER|brie+,Indigenous Mice,
Magma Carrier ,Jungle of Dread,"49,335","7,180",Spicy Havarti,The Dreaded Horde,
Magmarage ,Fiery Warpath (Wave 3),"30,000","1,000",,The Marching Flame,Mage
Magmatic Crystal Thief ,Gnawnian Express Station,"13,000","11,000",,Train Robbers,Fueler
Magmatic Golem ,Gnawnian Express Station,"18,000","17,000",,Train Robbers,Fueler
Maize Harvester ,Halloween,"18,000","1,000",See current Halloween location,Event Mice,Halloween
Mammoth ,Iceberg,"10,250","2,020",,Icewing's Invasion,Brute
Manaforge Smith ,Zokor,"350,000","100,000",,Citizens of Zokor,Tech Engineers
Manatee ,Sunken City,"11,600","1,250",,Deep Sea Dwellers,Finned Friends
Market Guard ,Muridae Market,"22,000","8,000",,Muridae Market Mice,
Market Thief ,Muridae Market,"25,000","9,000",,Muridae Market Mice,
Masked Pikeman ,"Labyrinth
Zokor","45,950","5,000",,Citizens of Zokor,Fealty Sworn Soldiers
Master Burglar ,"Bazaar
Town of Gnawnia","4,260","2,500",Gilded,Indigenous Mice,
Master Exploder ,Burroughs Rift,"65,000","12,000",Terre Ricotta,Rift Walkers,Burroughs Rift
Master of the Cheese Belt ,Meditation Room,"7,200",900,Glutter,Followers of Furoma,
Master of the Cheese Claw ,Meditation Room,"7,200",900,Susheese,Followers of Furoma,
Master of the Cheese Fang ,Meditation Room,"7,200",900,Combat,Followers of Furoma,
Master of the Chi Belt,Furoma Rift (Inside Only),"150,000","20,000","Master Fusion
Rift Glutter",Rift Stalkers,Furoma Rift
Master of the Chi Claw,Furoma Rift,"150,000","20,000","Master Fusion
Rift Susheese",Rift Stalkers,Furoma Rift
Master of the Chi Fang,Furoma Rift,"150,000","20,000","Master Fusion
Rift Combat",Rift Stalkers,Furoma Rift
Master of the Dojo ,Pinnacle Chamber,"15,925","27,300",Rumble,Followers of Furoma,
Matron of Machinery ,Zokor,"90,000","27,000",,Citizens of Zokor,Tech Engineers
Matron of Wealth ,Zokor,"82,000","20,000",,Citizens of Zokor,Treasure Misers
Mecha Tail ,Burroughs Rift,"45,000","1,000",Polluted Parmesan,Rift Walkers,Burroughs Rift
Medicine ,Whisker Woods Rift,"33,150","3,550","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Mer,S.S. Huntington III,"2,400",600,,Aquatic Order,
Mertte,Sunken City,"33,950","2,500",,Deep Sea Dwellers,Scale Society
Mershark ,Sunken City,"36,000","2,750",,Deep Sea Dwellers,Scale Society
Micro ,Gnawnia Rift,"28,000","3,400","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Gnawnia Rift
Mighty Mole ,Gnawnia Rift,"35,000","5,000","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Gnawnia Rift
Militant Samurai,Furoma Rift,"80,000","5,000","Brie String
Magical String
Marble String
Swiss String",Rift Stalkers,Furoma Rift
Mimic ,"Labyrinth
Zokor","57,325","12,890",,Citizens of Zokor,Treasure Misers
Mind Tearer ,"Labyrinth
Zokor","60,000","10,000",,Citizens of Zokor,Fealty Sworn Soldiers
Miner ,Town of Digby,"5,350","2,000",Limelight,Digby Dirt Dwellers,
Mintaka ,Derr Dunes,"4,500","5,100",,The Derr Tribe,
Miser ,Great Winter Hunt,"3,000","5,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Missile Toe ,Great Winter Hunt,"30,000","7,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Mlounder Flounder ,Sunken City,"18,000","6,300",,Deep Sea Dwellers,Finned Friends
Mobster ,All locations except: Meadow,10,10,,Event Mice,Prize
Mole ,"Meadow
Windmill
Town of Digby",550,500,,Indigenous Mice,
Molten Midas ,Zokor,"99,000","100,000",,Citizens of Zokor,Treasure Misers
Monarch ,Seasonal Garden,"2,500",600,,Seasonal Soldiers,Summer
Monk ,"Dojo
Training Grounds","5,250",950,,Followers of Furoma,
Monster ,"Catacombs
Laboratory
Mousoleum","9,100","9,100",Radioactive Blue,Indigenous Mice,
Monster Tail ,Toxic Spill,"13,500","2,500",Rancid Radioactive Blue,The Polluted,
Monstrous Abomination ,Burroughs Rift,"150,000","15,000","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Burroughs Rift
Monstrous Black Widow ,Whisker Woods Rift,"360,000","60,000",Lactrodectus Lancashire,Rift Walkers,Whisker Woods Rift
Moosker ,"Calm Clearing
Great Gnarled Tree",80,125,,Forest Guild,
Mossy Moosker ,Whisker Woods Rift,"55,000","8,220","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Mouldy Mole ,Fungal Cavern,"20,000",600,,Fungal Fiends,Fungal Fodder
Mousataur Priestess ,Halloween,"35,000","3,250",See current Halloween location,Event Mice,Halloween
Mouse of Winter Future,Great Winter Hunt,"10,000","5,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Mouse of Winter Past,Great Winter Hunt,"10,000","5,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Mouse of Winter Present,Great Winter Hunt,"10,000","5,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Mouse With No Name,Gnawnian Express Station,"8,500","11,500",,Train Robbers,Raider
Mousevina von Vermin,Halloween,"27,000","4,500",See current Halloween location,Event Mice,Halloween
Moussile ,Ronza's Traveling Shoppe,"3,000",900,See current Ronza location,Event Mice,Misc
Mummy ,"Catacombs
Mousoleum","4,725","3,750","Ancient Cheese
Radioactive Blue",The Shadow Clan,
Mush ,Fungal Cavern,"30,000","1,000",,Fungal Fiends,Fungal Fodder
Mush Monster ,"Labyrinth
Zokor","44,620","5,645",,Citizens of Zokor,Fungus Farmers
Mushroom Harvester ,"Labyrinth
Zokor","38,640","4,160",,Citizens of Zokor,Fungus Farmers
Mushroom Sprite ,Fungal Cavern,"15,000","1,500",,Fungal Fiends,Fungal Fodder
Mutant Mongrel ,Toxic Spill,"99,000","8,888",Rancid Radioactive Blue,The Polluted,
Mutant Ninja ,Toxic Spill,"66,000","5,000",Rancid Radioactive Blue,The Polluted,
Mutated Behemoth ,Toxic Spill,"150,000","12,000",Rancid Radioactive Blue,The Polluted,
Mutated Brown ,"Acolyte Realm
Bazaar
Forbidden Grove
Laboratory
Mousoleum",525,700,,Indigenous Mice,
Mutated Grey ,"Acolyte Realm
Bazaar
Forbidden Grove
Laboratory
Mousoleum",275,500,,Indigenous Mice,
Mutated Siblings ,Toxic Spill,"4,000","1,200",Rancid Radioactive Blue,The Polluted,
Mutated White ,"Acolyte Realm
Bazaar
Forbidden Grove
Laboratory
Mousoleum",250,475,,Indigenous Mice,
Mysterious Traveller ,Gnawnian Express Station,"4,250","5,000",,Train Robbers,Passenger
Mystic ,Elub Shore,"7,500","2,000",,The Elub Tribe,
Mystic Bishop ,Zugzwang's Tower,"40,655",900,,Wizard's Pieces,Mystic
Mystic Guardian ,"Labyrinth
Zokor","40,000","7,700",,Citizens of Zokor,Lost Scholars
Mystic Herald ,"Labyrinth
Zokor","60,000","10,000",,Citizens of Zokor,Lost Scholars
Mystic King ,Zugzwang's Tower,"98,670","8,560",,Wizard's Pieces,Mystic
Mystic Knight ,Zugzwang's Tower,"19,060","1,620",,Wizard's Pieces,Mystic
Mystic Pawn ,Zugzwang's Tower,"8,800",890,,Wizard's Pieces,Mystic
Mystic Queen ,Zugzwang's Tower,"80,960","13,970",,Wizard's Pieces,Mystic
Mystic Rook ,Zugzwang's Tower,"72,600","2,277",,Wizard's Pieces,Mystic
Mystic Scholar ,"Labyrinth
Zokor","80,800","12,750",,Citizens of Zokor,Lost Scholars
Narrator ,"Cape Clawed
Nerg Plains",900,600,,The Nerg Tribe,
Naturalist ,Whisker Woods Rift,"85,000","21,000","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Necromancer ,King's Gauntlet,"17,000","4,000",Gauntlet Cheese Tier 7,Gauntlet Gladiators,Tier 7: Dust Mice
Nerg Chieftain ,Nerg Plains,"12,545","9,400",Gumbo,The Nerg Tribe,
Nerg Lich ,Balack's Cove,"40,144","10,340","Vanilla Stilton
Vengeful Vanilla Stilton",Balack's Banished,
New Year's ,"Great Winter Hunt
Lunar New Year","2,200",200,See current Great Winter Hunt or Lunar New Year location,Event Mice,New Year
Nibbler ,"Bazaar
Cape Clawed
Great Gnarled Tree
King's Arms
S.S. Huntington III
Tournament Hall
Town of Digby
Town of Gnawnia
Training Grounds","1,100",900,SUPER|brie+,Indigenous Mice,
Nightshade Fungalmancer ,Zokor,"80,000","9,000",,Citizens of Zokor,Fungus Farmers
Nightshade Masquerade ,Fungal Cavern,"45,000","8,000",SUPER|brie+,Fungal Fiends,Fungal Fodder
Nightshade Nanny ,"Labyrinth
Zokor","56,800","7,200",,Citizens of Zokor,Fungus Farmers
Ninja ,"Dojo
Mountain
Training Grounds","2,750",350,,Followers of Furoma,
Nitro Racer ,Great Winter Hunt,"30,000","7,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Nomad ,"Great Gnarled Tree
Lagoon","3,400","5,000","Gnarled
SUPER|brie+
Wicked Gnarly",Forest Guild,
Nomadic Warrior ,Whisker Woods Rift,"73,000","11,250","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Nugget ,Town of Digby,"6,875",550,Limelight,Digby Dirt Dwellers,
Nutcracker ,Great Winter Hunt,"18,000","2,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Octomermaid ,Sunken City,"34,200","2,700",,Deep Sea Dwellers,Scale Society
Old One ,Sunken City,"36,500","2,825",,Deep Sea Dwellers,Scale Society
Onion Chopper,Spring Egg Hunt,"5,000","5,000",See current Spring Egg Hunt location,Event Mice,Spring Egg Hunt
Ooze ,Catacombs,"5,500","5,400",Ancient Cheese,,
Radioactive Blue,The Forgotten Mice,,,,,
Ornament ,Great Winter Hunt,"18,000","2,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Outbreak Assassin ,Toxic Spill,"95,000","10,000",Rancid Radioactive Blue,The Polluted,
Outlaw ,Claw Shot City,"9,500","10,000",,Wild Bunch,Ringleaders
Over-Prepared ,Seasonal Garden,"4,000",500,,Seasonal Soldiers,Winter
Oxygen Baron ,Sunken City,"45,000","7,800",Fishy Fromage,Deep Sea Dwellers,Sunken City Citizens
Pack ,Elub Shore,"6,000",908,,The Elub Tribe,
Page ,King's Gauntlet,325,210,Gauntlet Cheese Tier 3,Gauntlet Gladiators,Tier 3: Paladin
Paladin ,King's Gauntlet,"25,200","2,500",Gauntlet Cheese Tier 6,Gauntlet Gladiators,Tier 6: Noble Mice
Paladin Weapon Master ,Zokor,"350,000","100,000",,Citizens of Zokor,Fealty Sworn Soldiers
Pan Slammer ,Spring Egg Hunt,"7,200","1,000",See current Spring Egg Hunt location,Event Mice,Spring Egg Hunt
Para Para Dancer ,Hunt Birthday,"2,200","1,000",See current Hunt Birthday location,Event Mice,Birthday
Parlour Player ,"Claw Shot City
Gnawnian Express Station","5,500","4,500",,Wild Bunch,Crew
Party Head ,"Great Winter Hunt
Lunar New Year","2,000","2,000",See current Great Winter Hunt or Lunar New Year location,Event Mice,New Year
Passenger ,Gnawnian Express Station,"4,000","6,000",,Train Robbers,Passenger
Pathfinder ,"Cape Clawed
Nerg Plains",990,660,,The Nerg Tribe,
Pearl ,Sunken City,"40,000","20,000",,Deep Sea Dwellers,Treasure Troop
Pearl Diver ,Sunken City,"32,042","19,500",,Deep Sea Dwellers,Treasure Troop
Pebble ,Mountain,200,600,SUPER|brie+,Indigenous Mice,
Penguin ,Seasonal Garden,"4,500",550,,Seasonal Soldiers,Winter
Phalanx ,King's Gauntlet,430,"1,000",Gauntlet Cheese Tier 3,Gauntlet Gladiators,Tier 3: Melee Mice
Phase Zombie,Burroughs Rift,"34,000","4,400","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Burroughs Rift
Photographer ,Gnawnian Express Station,"5,000","7,000",,Train Robbers,Passenger
Pie Thief ,Muridae Market,"8,250",900,,Muridae Market Mice,
Pinchy ,"Cape Clawed
Elub Shore
S.S. Huntington III",325,400,,Aquatic Order,
Pintail ,Hunt Birthday,"1,200","1,000",See current Hunt Birthday location,Event Mice,Birthday
Pirate ,"Harbour
S.S. Huntington III",350,"2,750",,Aquatic Order,
Pirate Anchor ,Sunken City,"34,200","2,700",,Deep Sea Dwellers,Barnacled Bunch
Plague Hag ,Toxic Spill,"46,000","3,000",Rancid Radioactive Blue,The Polluted,
Plutonium Tentacle ,Burroughs Rift,"260,000","50,000",Polluted Parmesan,Rift Walkers,Burroughs Rift
Pneumatic Dirt Displacement ,Burroughs Rift,"35,000","4,500","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Burroughs Rift
Pocketwatch ,Crystal Library,"6,400",900,,Zurreal's Breed,
Polar Bear ,"Iceberg
Slushy Shoreline","6,760","1,865",,Icewing's Invasion,Bergling
Portable Generator ,Burroughs Rift,"26,500","8,500",Magical String,Rift Walkers,Burroughs Rift
Present ,"Hunt Birthday
Lunar New Year
Great Winter Hunt",900,900,"See current Hunt Birthday, Lunar New Year or Great Winter Hunt location",Event Mice,Birthday
Primal ,Jungle of Dread,"16,450","5,800",Sweet Havarti,The Dreaded Horde,
Princess Fist,Iceberg,"23,125","3,550",,Icewing's Invasion,Icewing's Generals
Prospector ,Claw Shot City,"6,500","3,500",,Wild Bunch,Misc
Protector ,Elub Shore,"12,545","3,360",Shell,The Elub Tribe,
Prototype ,Burroughs Rift,"32,000","4,000","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Burroughs Rift
Puddlemancer ,Seasonal Garden,"10,480","3,360",,Seasonal Soldiers,Spring
Puffer ,Sunken City,"11,600","1,250",,Deep Sea Dwellers,Finned Friends
Pugilist ,"Harbour
King's Arms
Tournament Hall
Town of Gnawnia
Windmill",700,600,,Indigenous Mice,
Pumpkin Head ,Seasonal Garden,"4,500",960,,Seasonal Soldiers,Fall
Pumpkin Hoarder ,Halloween,"1,800","1,000",See current Halloween location,Event Mice,Halloween
Puppet Master ,King's Gauntlet,200,210,,Gauntlet Gladiators,Tier 1: Puppet Mice
Pygmy Wrangler ,Jungle of Dread,"6,500","1,250",SUPER|brie+,The Dreaded Horde,
Pyrite ,Claw Shot City,"20,000","5,000",SUPER|brie+,Wild Bunch,Misc
Quesodillo ,Sand Dunes,"15,750",950,Dewthief Camembert,Sand Dunes Mice,
Quillback ,Fungal Cavern,"31,000","1,000",,Fungal Fiends,Fungal Fodder
Radioactive Ooze ,Burroughs Rift,"47,000","1,100",Polluted Parmesan,Rift Walkers,Burroughs Rift
Rainbow Racer ,Great Winter Hunt,"21,340","4,745",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
Rancid Bog Beast ,Burroughs Rift,"50,000","1,950",Polluted Parmesan,Rift Walkers,Burroughs Rift
Ravenous Zombie ,"Catacombs
Forbidden Grove
Mousoleum","5,400","5,400",Radioactive Blue,The Shadow Clan,
Raw Diamond ,"Gnawnia Rift
Furoma Rift","60,000","2,000",String Cheese,Rift Walkers,Gnawnia Rift
Realm Ripper,Forbidden Grove,"3,000","1,440",Ancient Cheese,,
Radioactive Blue,The Forgotten Mice,,,,,
Reanimated Carver ,"Labyrinth
Zokor","90,000","9,000",,Citizens of Zokor,Hallway Wanderers
Reaper ,Forbidden Grove,"8,700","1,200",Ancient Cheese,The Forgotten Mice,
Red Coat Bear ,Whisker Woods Rift,"47,500","7,500","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Red Envelope ,Lunar New Year,888,221,See current Lunar New Year location,Event Mice,Lunar New Year
Red-Eyed Watcher Owl ,Whisker Woods Rift,"71,500","11,500","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Whisker Woods Rift
Reinbo,Great Winter Hunt,"15,000","1,000",See current Great Winter Hunt location,Event Mice,Great Winter Hunt
